target,model_targets,model,nmr_only,dataset_fraction,max_evals,accuracy_mean,accuracy_lb,accuracy_hb,f1_mean,f1_lb,f1_hb
metal,['metal'],random_forest,False,0.01,1,0.7058823529411764,0.6638025349418624,0.7479621709404904,0.5854355304014521,0.5302447621288161,0.6406262986740882
metal,['metal'],random_forest,False,0.1,1,0.4855113636363636,0.4662209070915147,0.5048018201812127,0.3177565829368818,0.2965178657968165,0.3389953000769471
metal,['metal'],random_forest,False,0.5,1,0.5006459189665297,0.4918788976659794,0.5094129402670798,0.3341312101015697,0.3243773177157942,0.3438851024873453
metal,['metal'],random_forest,False,1.0,1,0.5444962143273151,0.5367080582826367,0.5522843703719935,0.383970683161388,0.3748928209268509,0.3930485453959252
metal,['metal'],logistic_regression,False,0.01,1,0.7909090909090909,0.7548522849194974,0.8269658968986844,0.7957151370421134,0.7622840972633939,0.8291461768208329
metal,['metal'],logistic_regression,False,0.1,1,0.8132743362831857,0.7962744731703182,0.8302741993960532,0.8189117502235309,0.8025530032427621,0.8352704972042997
metal,['metal'],logistic_regression,False,0.5,1,0.8197802197802198,0.8128153872859001,0.8267450522745394,0.8206254910645636,0.8139533359364746,0.8272976461926527
metal,['metal'],logistic_regression,False,1.0,1,0.8336633663366337,0.8293763524751944,0.8379503801980731,0.8335259866990986,0.8292144968043125,0.8378374765938847
metal,['metal'],gradient_boosting,False,0.01,1,0.8363636363636363,0.7840574299820708,0.8886698427452018,0.8358160510579076,0.7836361481607076,0.8879959539551076
metal,['metal'],gradient_boosting,False,0.1,1,0.7186046511627907,0.6858298453419158,0.7513794569836656,0.7176415740066349,0.6848307832091716,0.7504523648040982
metal,['metal'],gradient_boosting,False,0.5,1,0.7754098360655737,0.7681738288297371,0.7826458433014103,0.7717724226659927,0.7637641510050027,0.7797806943269826
metal,['metal'],gradient_boosting,False,1.0,1,0.8094933022714038,0.8020839679785203,0.8169026365642873,0.8091788449151155,0.8017331899494019,0.8166244998808291
metal,['metal'],svc,False,0.01,1,0.5842105263157895,0.5427761155236417,0.6256449371079373,0.5823828034403432,0.5401305557578515,0.6246350511228349
metal,['metal'],svc,False,0.1,1,0.5810495626822159,0.5588456877115391,0.6032534376528926,0.580319056921847,0.5582182580238353,0.6024198558198588
metal,['metal'],svc,False,0.5,1,0.4928157589803012,0.4658973741043043,0.5197341438562981,0.4907166755953828,0.4641677689750853,0.5172655822156804
metal,['metal'],svc,False,1.0,1,0.5078625509609785,0.5011359567660276,0.5145891451559295,0.5082999281276115,0.5013829773279703,0.5152168789272527
metal,['metal'],extra_trees,False,0.01,1,0.3078947368421052,0.2496683959679791,0.3661210777162312,0.1501500659875041,0.099677045020381,0.2006230869546271
metal,['metal'],extra_trees,False,0.1,1,0.564857142857143,0.5340848963343076,0.5956293893799783,0.4086513278287912,0.3721174381848612,0.4451852174727212
metal,['metal'],extra_trees,False,0.5,1,0.510614849187935,0.4938680148472546,0.5273616835286153,0.3454810182057916,0.3267122470903381,0.364249789321245
metal,['metal'],extra_trees,False,1.0,1,0.5469423412929528,0.5380056121456448,0.5558790704402609,0.3868335716080425,0.3764282777395811,0.3972388654765039
X3_ligand,['X3_ligand'],random_forest,False,0.01,1,0.4205882352941176,0.3891454774433671,0.4520309931448681,0.2502949633754211,0.2195240395116001,0.2810658872392421
X3_ligand,['X3_ligand'],random_forest,False,0.1,1,0.6210227272727272,0.5782517382331189,0.6637937163123355,0.4773362187074317,0.4241513260244594,0.5305211113904041
X3_ligand,['X3_ligand'],random_forest,False,0.5,1,0.5259541984732825,0.5205637409878883,0.5313446559586767,0.3625924614403786,0.3564369900032386,0.3687479328775186
X3_ligand,['X3_ligand'],random_forest,False,1.0,1,0.5621723937099591,0.5551585750955355,0.5691862123243827,0.4046585495940393,0.3963716441550329,0.4129454550330456
X3_ligand,['X3_ligand'],logistic_regression,False,0.01,1,0.4696969696969696,0.4017204047096456,0.5376735346842936,0.4218129804841327,0.3403460136982816,0.5032799472699838
X3_ligand,['X3_ligand'],logistic_regression,False,0.1,1,0.6188790560471976,0.5683340657757618,0.6694240463186334,0.5569051054340031,0.4961896104250884,0.6176206004429178
X3_ligand,['X3_ligand'],logistic_regression,False,0.5,1,0.6026026604973973,0.581653026501615,0.6235522944931796,0.4906620771576618,0.4666629986333782,0.5146611556819454
X3_ligand,['X3_ligand'],logistic_regression,False,1.0,1,0.55934769947583,0.553450073084961,0.565245325866699,0.4564929760516819,0.4486586045136204,0.4643273475897435
X3_ligand,['X3_ligand'],gradient_boosting,False,0.01,1,0.4606060606060606,0.424045944842762,0.4971661763693591,0.3038021698798096,0.2603261891860317,0.3472781505735876
X3_ligand,['X3_ligand'],gradient_boosting,False,0.1,1,0.6433139534883721,0.6156381105213654,0.6709897964553787,0.5042943514613606,0.4696550312380307,0.5389336716846904
X3_ligand,['X3_ligand'],gradient_boosting,False,0.5,1,0.5755854800936767,0.565415172099774,0.5857557880875794,0.4206332465250144,0.4084743763252799,0.4327921167247488
X3_ligand,['X3_ligand'],gradient_boosting,False,1.0,1,0.553843913803145,0.5487787467059438,0.5589090809003462,0.3950796152608925,0.3891284219207301,0.4010308086010549
X3_ligand,['X3_ligand'],svc,False,0.01,1,0.8552631578947368,0.7338281700084947,0.976698145780979,0.8304585088818834,0.6882897179557755,0.9726272998079912
X3_ligand,['X3_ligand'],svc,False,0.1,1,0.4206997084548105,0.3970824697081917,0.4443169472014292,0.3038540761091622,0.2774774482908327,0.3302307039274917
X3_ligand,['X3_ligand'],svc,False,0.5,1,0.5567786790266512,0.5352791044950355,0.578278253558267,0.4384875450415471,0.4154878964128098,0.4614871936702844
X3_ligand,['X3_ligand'],svc,False,1.0,1,0.4542516016307513,0.4472990975381973,0.4612041057233054,0.3439855062777078,0.3362532301887317,0.351717782366684
X3_ligand,['X3_ligand'],extra_trees,False,0.01,1,0.35,0.3167362595904228,0.3832637404095771,0.1830269934072058,0.1521359766581799,0.2139180101562317
X3_ligand,['X3_ligand'],extra_trees,False,0.1,1,0.5405714285714286,0.517714097577855,0.5634287595650022,0.3798605961397755,0.3532348345097669,0.4064863577697841
X3_ligand,['X3_ligand'],extra_trees,False,0.5,1,0.532598607888631,0.5205236024774497,0.5446736132998123,0.3703147642168812,0.3565866001376008,0.3840429282961617
X3_ligand,['X3_ligand'],extra_trees,False,1.0,1,0.5143855562026791,0.5101263005203617,0.5186448118849966,0.3494570725984676,0.3446420543493984,0.3542720908475367
X3_ligand,['X3_ligand'],random_forest,False,0.01,1,0.4205882352941176,0.3891454774433671,0.4520309931448681,0.2502949633754211,0.2195240395116001,0.2810658872392421
X3_ligand,['X3_ligand'],random_forest,False,0.1,1,0.6210227272727272,0.5782517382331189,0.6637937163123355,0.4773362187074317,0.4241513260244594,0.5305211113904041
X3_ligand,['X3_ligand'],random_forest,False,0.5,1,0.5259541984732825,0.5205637409878883,0.5313446559586767,0.3625924614403786,0.3564369900032386,0.3687479328775186
X3_ligand,['X3_ligand'],random_forest,False,1.0,1,0.5621723937099591,0.5551585750955355,0.5691862123243827,0.4046585495940393,0.3963716441550329,0.4129454550330456
X3_ligand,['X3_ligand'],logistic_regression,False,0.01,1,0.4696969696969696,0.4017204047096456,0.5376735346842936,0.4218129804841327,0.3403460136982816,0.5032799472699838
X3_ligand,['X3_ligand'],logistic_regression,False,0.1,1,0.6188790560471976,0.5683340657757618,0.6694240463186334,0.5569051054340031,0.4961896104250884,0.6176206004429178
X3_ligand,['X3_ligand'],logistic_regression,False,0.5,1,0.6026026604973973,0.581653026501615,0.6235522944931796,0.4906620771576618,0.4666629986333782,0.5146611556819454
X3_ligand,['X3_ligand'],logistic_regression,False,1.0,1,0.55934769947583,0.553450073084961,0.565245325866699,0.4564929760516819,0.4486586045136204,0.4643273475897435
X3_ligand,['X3_ligand'],gradient_boosting,False,0.01,1,0.4606060606060606,0.424045944842762,0.4971661763693591,0.3038021698798096,0.2603261891860317,0.3472781505735876
X3_ligand,['X3_ligand'],gradient_boosting,False,0.1,1,0.6433139534883721,0.6156381105213654,0.6709897964553787,0.5042943514613606,0.4696550312380307,0.5389336716846904
X3_ligand,['X3_ligand'],gradient_boosting,False,0.5,1,0.5755854800936767,0.565415172099774,0.5857557880875794,0.4206332465250144,0.4084743763252799,0.4327921167247488
