target,model_targets,model,nmr_only,dataset_fraction,max_evals,accuracy_mean,accuracy_lb,accuracy_hb,f1_mean,f1_lb,f1_hb
metal,['metal'],random_forest,False,0.01,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
metal,['metal'],random_forest,False,0.1,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
metal,['metal'],random_forest,False,0.5,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
metal,['metal'],random_forest,False,1.0,1,0.5226849155503785,0.5144697341323923,0.5309000969683648,0.3589064475260286,0.3495628086387138,0.3682500864133434
metal,['metal'],logistic_regression,False,0.01,1,0.8554455445544555,0.8485335562610002,0.8623575328479108,0.8554517168560336,0.8485678576269446,0.8623355760851226
metal,['metal'],logistic_regression,False,0.1,1,0.8573383808969133,0.8524643519694316,0.862212409824395,0.8570314628244843,0.8522345717143646,0.861828353934604
metal,['metal'],logistic_regression,False,0.5,1,0.8493302271403611,0.8436513516389275,0.8550091026417947,0.849016888540176,0.8434662902582027,0.8545674868221492
metal,['metal'],logistic_regression,False,1.0,1,0.8496214327315084,0.8424210773059436,0.8568217881570731,0.8493349487103108,0.8422489951314375,0.8564209022891841
metal,['metal'],gradient_boosting,False,0.01,1,0.8073383808969133,0.796167949663936,0.8185088121298907,0.8066755678622277,0.7955687078624982,0.8177824278619572
metal,['metal'],gradient_boosting,False,0.1,1,0.7850902737332557,0.7745772539249152,0.7956032935415962,0.784243003480394,0.7735573934307856,0.7949286135300024
metal,['metal'],gradient_boosting,False,0.5,1,0.7922539312754804,0.7845433022057182,0.7999645603452425,0.7911458488697293,0.7835070706886813,0.7987846270507772
metal,['metal'],gradient_boosting,False,1.0,1,0.7922830518345954,0.7839822726202745,0.8005838310489162,0.7912628872596844,0.7829864723179207,0.7995393022014481
metal,['metal'],svc,False,0.01,1,0.5067559697146186,0.500081330223096,0.5134306092061411,0.3893244033343107,0.3819780826155624,0.3966707240530591
metal,['metal'],svc,False,0.1,1,0.4719860221316249,0.4582561918155888,0.4857158524476609,0.4544027922652011,0.4387399856593679,0.4700655988710343
metal,['metal'],svc,False,0.5,1,0.5390215492137449,0.5334847153758798,0.54455838305161,0.5388929491488283,0.5331525981351662,0.5446333001624905
